,price,discount,rating,units_sold,revenue
price,1.0,-0.43274131950915806,0.6682533510980834,-0.32176259776519733,0.8824782074967413
discount,-0.43274131950915806,1.0,-0.5183343523427759,0.04795290156113788,-0.42267510247688334
rating,0.6682533510980834,-0.5183343523427759,1.0,0.14610167881636502,0.7085803339889484
units_sold,-0.32176259776519733,0.04795290156113788,0.14610167881636502,1.0,0.03403941235567704
revenue,0.8824782074967413,-0.42267510247688334,0.7085803339889484,0.03403941235567704,1.0
